label,nop_total,1B_R,2B_R,3B_R,4B_R,5B_R,6B_R,7B_R,8B_R,9B_R,10B_V,11B_V,12B_V,13B_V,14B_V,15B_V,OTHERS
icc,0.009734637227188224,0.08862001308044473,0.04153041203400916,0.09679529103989536,0.08829300196206671,0.1144538914323087,0.04316546762589928,0.26880313930673644,0.15304120340091562,0.05493786788750817,0.013080444735120994,0.0029431000654022237,0.0009810333551340746,0.007521255722694572,0.0009810333551340746,0.02485284499672989,0.0
icc,0.0011135388263902684,0.8540540540540541,0.016216216216216217,0.005405405405405406,0.016216216216216217,0.016216216216216217,0.010810810810810811,0.021621621621621623,0.021621621621621623,0.010810810810810811,0.02702702702702703,0.0,0.0,0.0,0.0,0.0,0.0
gcc,0.0381677333989784,0.07538042930565353,0.07356646175551748,0.12637307265947798,0.13735765393530183,0.11478383553360878,0.11609392320870704,0.11518693943363902,0.05764385770432329,0.05855084147939131,0.12506298498437973,0.0,0.0,0.0,0.0,0.0,0.0
clang,0.02183125913988122,0.08885850991114148,0.0786056049213944,0.10663021189336978,0.12098427887901572,0.08749145591250855,0.04921394395078606,0.05673274094326726,0.05741626794258373,0.041695146958304855,0.31237183868762813,0.0,0.0,0.0,0.0,0.0,0.0
icc,0.0009031666411927358,0.5692307692307692,0.03076923076923077,0.015384615384615385,0.06153846153846154,0.046153846153846156,0.03076923076923077,0.06153846153846154,0.07692307692307693,0.03076923076923077,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0
icc,0.0012383603147599325,0.8640776699029126,0.009708737864077669,0.0048543689320388345,0.024271844660194174,0.014563106796116505,0.009708737864077669,0.019417475728155338,0.019417475728155338,0.009708737864077669,0.024271844660194174,0.0,0.0,0.0,0.0,0.0,0.0
icc,0.0010971332770384797,0.848314606741573,0.016853932584269662,0.0056179775280898875,0.016853932584269662,0.016853932584269662,0.011235955056179775,0.02247191011235955,0.02247191011235955,0.011235955056179775,0.028089887640449437,0.0,0.0,0.0,0.0,0.0,0.0
icc,0.01013634309075822,0.09417637271214642,0.03926788685524126,0.08552412645590682,0.09051580698835275,0.1221297836938436,0.043926788685524125,0.26855241264559065,0.14908485856905157,0.05524126455906822,0.013643926788685524,0.002995008319467554,0.0009983361064891847,0.007653910149750416,0.0009983361064891847,0.02529118136439268,0.0
gcc,0.039665134469015435,0.07292023279698734,0.0718076001369394,0.12547072920232796,0.13394385484423144,0.11965080451900034,0.11699760356042452,0.11537144813420061,0.06076686066415611,0.06187949332420404,0.12119137281752825,0.0,0.0,0.0,0.0,0.0,0.0
gcc,0.00012044242517514337,0.16666666666666666,0.0,0.1111111111111111,0.16666666666666666,0.16666666666666666,0.1111111111111111,0.0,0.05555555555555555,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0
clang,0.019517999453035412,0.10471976401179942,0.09021632251720747,0.09095378564405113,0.09193706981317601,0.10791543756145526,0.05235988200589971,0.04768928220255654,0.048672566371681415,0.051130776794493606,0.31440511307767943,0.0,0.0,0.0,0.0,0.0,0.0
icc,0.010006981615080289,0.3953488372093023,0.046511627906976744,0.023255813953488372,0.06976744186046512,0.06976744186046512,0.046511627906976744,0.09302325581395349,0.11627906976744186,0.046511627906976744,0.09302325581395349,0.0,0.0,0.0,0.0,0.0,0.0
clang,0.02034747221787447,0.1119106699751861,0.09280397022332507,0.08759305210918114,0.09205955334987594,0.10471464019851116,0.04913151364764268,0.04739454094292804,0.04714640198511166,0.05607940446650124,0.31116625310173696,0.0,0.0,0.0,0.0,0.0,0.0
clang,0.02682548566897549,0.09215387959139318,0.10063029776135622,0.09628341664855466,0.08845903064551185,0.10497717887415779,0.05216257335361878,0.04911975657465768,0.06346446424690284,0.055422734188219955,0.297326668115627,0.0,0.0,0.0,0.0,0.0,0.0
gcc,8.098992832391343e-05,0.07142857142857142,0.0,0.07142857142857142,0.14285714285714285,0.21428571428571427,0.14285714285714285,0.0,0.14285714285714285,0.0,0.21428571428571427,0.0,0.0,0.0,0.0,0.0,0.0
icc,0.009582743988684583,0.08328940432261465,0.04085397996837111,0.08302583025830258,0.09699525566684239,0.12467053241960992,0.04164470216130733,0.2820242488139167,0.1499736425935688,0.057722720084343704,0.009752240379546653,0.0023721665788086453,0.0007907221929362151,0.006062203479177649,0.0007907221929362151,0.020031628887717447,0.0
icc,0.009498846077427441,0.15205148833467416,0.03459372485921158,0.07240547063555913,0.04344328238133548,0.08447304907481899,0.053901850362027354,0.20514883346741755,0.15205148833467416,0.07803700724054706,0.032180209171359615,0.007240547063555913,0.002413515687851971,0.01850362027353178,0.002413515687851971,0.061142397425583264,0.0
icc,0.008949320755643992,0.08427120505078232,0.03870436453472413,0.09827065605270381,0.09058468295360966,0.11803458687894593,0.042547351084271205,0.27998902003842985,0.15069997255009607,0.054350809772165797,0.011254460609387867,0.0024704913532802636,0.0008234971177600879,0.00631347790282734,0.0008234971177600879,0.02086192698325556,0.0
icc,0.0010908754737912545,0.8587570621468926,0.011299435028248588,0.005649717514124294,0.01694915254237288,0.01694915254237288,0.011299435028248588,0.022598870056497175,0.022598870056497175,0.011299435028248588,0.022598870056497175,0.0,0.0,0.0,0.0,0.0,0.0
icc,0.0012383528704538623,0.8640776699029126,0.009708737864077669,0.0048543689320388345,0.024271844660194174,0.014563106796116505,0.009708737864077669,0.019417475728155338,0.019417475728155338,0.009708737864077669,0.024271844660194174,0.0,0.0,0.0,0.0,0.0,0.0
gcc,0.03874758292428975,0.07654962176809303,0.07282375522185841,0.1262278423845546,0.13898611267923677,0.11324376199616124,0.11629219826126228,0.11437281246471717,0.057242858755786385,0.05814609913063114,0.126114937337699,0.0,0.0,0.0,0.0,0.0,0.0
gcc,0.04154701385385541,0.07752481027437244,0.07530647985989491,0.12551079976649154,0.13041447752481028,0.12399299474605954,0.10531231757151197,0.11161704611792178,0.056625802685347344,0.06071220081727963,0.13298307063631057,0.0,0.0,0.0,0.0,0.0,0.0
clang,0.009897003713097012,0.11265646731571627,0.09840055632823366,0.0963143254520167,0.10187760778859527,0.0890125173852573,0.04937413073713491,0.0458970792767733,0.06015299026425591,0.05354659248956885,0.29276773296244785,0.0,0.0,0.0,0.0,0.0,0.0
icc,0.03148823334438183,0.14210526315789473,0.030263157894736843,0.05789473684210526,0.021052631578947368,0.06710526315789474,0.05789473684210526,0.1618421052631579,0.1763157894736842,0.09210526315789473,0.04736842105263158,0.011842105263157895,0.002631578947368421,0.02763157894736842,0.003947368421052632,0.1,0.0
clang,0.009959440315162335,0.11106780982073265,0.09820732657833203,0.0989867498051442,0.10405300077942323,0.08963367108339829,0.0494933749025721,0.04053000779423227,0.060795011691348405,0.05339049103663289,0.2938425565081839,0.0,0.0,0.0,0.0,0.0,0.0
icc,0.0012937515297737684,0.8603603603603603,0.013513513513513514,0.009009009009009009,0.018018018018018018,0.013513513513513514,0.009009009009009009,0.02252252252252252,0.018018018018018018,0.009009009009009009,0.02702702702702703,0.0,0.0,0.0,0.0,0.0,0.0
icc,0.000524288738561295,0.9135135135135135,0.010810810810810811,0.0,0.016216216216216217,0.005405405405405406,0.005405405405405406,0.005405405405405406,0.005405405405405406,0.005405405405405406,0.032432432432432434,0.0,0.0,0.0,0.0,0.0,0.0
