label,nop_total,1B_R,2B_R,3B_R,4B_R,5B_R,6B_R,7B_R,8B_R,9B_R,10B_V,11B_V,12B_V,13B_V,14B_V,15B_V,OTHERS
clang,0.03681098607667366,0.08290155440414508,0.08290155440414508,0.09844559585492228,0.09326424870466321,0.09844559585492228,0.08808290155440414,0.031088082901554404,0.06735751295336788,0.046632124352331605,0.31088082901554404,0.0,0.0,0.0,0.0,0.0,0.0
gcc,0.03802204469612701,0.0797872340425532,0.0700354609929078,0.13120567375886524,0.11879432624113476,0.13297872340425532,0.12322695035460993,0.11524822695035461,0.061170212765957445,0.06914893617021277,0.09840425531914894,0.0,0.0,0.0,0.0,0.0,0.0
clang,0.02768637240440259,0.0860655737704918,0.11065573770491803,0.08196721311475409,0.10245901639344263,0.11885245901639344,0.0778688524590164,0.020491803278688523,0.05737704918032787,0.05737704918032787,0.28688524590163933,0.0,0.0,0.0,0.0,0.0,0.0
gcc,0.03717963452476727,0.08500772797527048,0.07264296754250386,0.13446676970633695,0.12364760432766615,0.10973724884080371,0.1035548686244204,0.11901081916537867,0.07573415765069552,0.04636785162287481,0.12982998454404945,0.0,0.0,0.0,0.0,0.0,0.0
clang,0.030664395229982964,0.0625,0.0763888888888889,0.06944444444444445,0.1111111111111111,0.04861111111111111,0.05555555555555555,0.05555555555555555,0.11805555555555555,0.05555555555555555,0.1597222222222222,0.020833333333333332,0.034722222222222224,0.05555555555555555,0.020833333333333332,0.05555555555555555,0.0
gcc,0.002715423606082549,0.5333333333333333,0.06666666666666667,0.0,0.06666666666666667,0.0,0.0,0.0,0.06666666666666667,0.0,0.26666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
clang,0.04216624006466388,0.11501597444089456,0.0670926517571885,0.08945686900958466,0.10223642172523961,0.08306709265175719,0.07667731629392971,0.054313099041533544,0.08626198083067092,0.0670926517571885,0.25878594249201275,0.0,0.0,0.0,0.0,0.0,0.0
gcc,0.0009027598658756771,0.14285714285714285,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285,0.0,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0
gcc,0.000379737221842485,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0
gcc,0.007311963953993914,0.9621621621621622,0.0,0.0,0.005405405405405406,0.0,0.0,0.005405405405405406,0.005405405405405406,0.0,0.021621621621621623,0.0,0.0,0.0,0.0,0.0,0.0
gcc,0.04934312931946952,0.08012618296529968,0.06750788643533123,0.1381703470031546,0.12555205047318613,0.1167192429022082,0.10410094637223975,0.11987381703470032,0.06056782334384858,0.05425867507886435,0.1331230283911672,0.0,0.0,0.0,0.0,0.0,0.0
gcc,0.008027522935779817,0.8571428571428571,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.047619047619047616,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0
clang,0.03407431445724485,0.05714285714285714,0.06190476190476191,0.0761904761904762,0.05714285714285714,0.07142857142857142,0.06666666666666667,0.05238095238095238,0.0761904761904762,0.047619047619047616,0.17142857142857143,0.06666666666666667,0.06190476190476191,0.05714285714285714,0.047619047619047616,0.02857142857142857,0.0
gcc,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gcc,0.036009988171901694,0.10036496350364964,0.072992700729927,0.14233576642335766,0.10948905109489052,0.12226277372262774,0.11861313868613138,0.08211678832116788,0.06569343065693431,0.05474452554744526,0.13138686131386862,0.0,0.0,0.0,0.0,0.0,0.0
gcc,0.005351681957186544,0.0,0.14285714285714285,0.42857142857142855,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0
gcc,0.03801044431127472,0.0945945945945946,0.07432432432432433,0.11036036036036036,0.11936936936936937,0.10585585585585586,0.12387387387387387,0.0990990990990991,0.07207207207207207,0.06531531531531531,0.13513513513513514,0.0,0.0,0.0,0.0,0.0,0.0
gcc,0.033685176686553464,0.11171662125340599,0.05449591280653951,0.13896457765667575,0.09809264305177112,0.12806539509536785,0.09809264305177112,0.0653950953678474,0.08174386920980926,0.0681198910081744,0.1553133514986376,0.0,0.0,0.0,0.0,0.0,0.0
gcc,0.0023552230534774174,0.6470588235294118,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.11764705882352941,0.0,0.17647058823529413,0.0,0.0,0.0,0.0,0.0,0.0
clang,0.038640906062624915,0.06896551724137931,0.028735632183908046,0.06896551724137931,0.09770114942528736,0.05747126436781609,0.06321839080459771,0.05747126436781609,0.1206896551724138,0.07471264367816093,0.09195402298850575,0.040229885057471264,0.05172413793103448,0.09195402298850575,0.034482758620689655,0.05172413793103448,0.0
clang,0.018594594594594595,0.06976744186046512,0.05813953488372093,0.06395348837209303,0.040697674418604654,0.040697674418604654,0.09883720930232558,0.029069767441860465,0.13372093023255813,0.06395348837209303,0.1511627906976744,0.046511627906976744,0.03488372093023256,0.040697674418604654,0.05813953488372093,0.06976744186046512,0.0
